DATE,GDPRate
1961-01-01,2.3
1962-01-01,6.1
1963-01-01,4.4
1964-01-01,5.8
1965-01-01,6.4
1966-01-01,6.5
1967-01-01,2.5
1968-01-01,4.8
1969-01-01,3.1
1970-01-01,-0.28
1971-01-01,3.29
1972-01-01,5.26
1973-01-01,5.65
1974-01-01,-0.54
1975-01-01,-0.21
1976-01-01,5.39
1977-01-01,4.62
1978-01-01,5.54
1979-01-01,3.17
1980-01-01,-0.26
1981-01-01,2.54
1982-01-01,-1.8
1983-01-01,4.58
1984-01-01,7.24
1985-01-01,4.17
1986-01-01,3.46
1987-01-01,3.46
1988-01-01,4.18
1989-01-01,3.67
1990-01-01,1.89
1991-01-01,-0.11
1992-01-01,3.52
1993-01-01,2.75
1994-01-01,4.03
1995-01-01,2.68
1996-01-01,3.77
1997-01-01,4.45
1998-01-01,4.48
1999-01-01,4.79
2000-01-01,4.08
2001-01-01,0.95
2002-01-01,1.7
2003-01-01,2.8
2004-01-01,3.85
2005-01-01,3.48
2006-01-01,2.78
2007-01-01,2.01
2008-01-01,0.12
2009-01-01,-2.6
2010-01-01,2.71
2011-01-01,1.55
2012-01-01,2.28
2013-01-01,1.84
2014-01-01,2.29
2015-01-01,2.71
2016-01-01,1.67
2017-01-01,2.26
2018-01-01,2.92
2019-01-01,2.29
2020-01-01,-3.4
2021-01-01,5.67
